period,sku_id,category_id,brand,lifetime_days,qty_total,orders_qty,abc,total_abc_numeric,avg_discount_perc_by_goods,max_discount_perc_by_goods,Unnamed: 11,avg_goods_price_by_goods,revenue,last_goods_sell_status,oos__by_goods,war,covid,year,sin_quarter,cos_quarter,sin_month,cos_month,sin_week,cos_week,data_status
1/8/2024,4867304145,672241,432414279,-416,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866","0,1205","0,9927",unsold
1/1/2024,4867304145,672241,432414279,-423,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866",0,1,unsold
1/15/2024,4867304145,672241,432414279,-409,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866","0,2393","0,9709",unsold
1/22/2024,4867304145,672241,432414279,-402,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866","0,3546","0,935",unsold
8/5/2024,44754799164,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44754802163,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44754809351,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",ok
8/12/2024,44754812989,672241,477244491,-21,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,6631","-0,7485",ok
8/5/2024,44754812989,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",ok
8/5/2024,4475481627,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",ok
8/5/2024,44754818694,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,4475482043,672241,477244491,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44860382637,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44860382932,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/12/2024,4486038328,672241,370793386,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,6631","-0,7485",inconsistent
8/5/2024,4486038328,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44860383567,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,4486038387,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44860384161,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",novelty
8/5/2024,44860384494,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",ok
8/12/2024,44860384733,672241,370793386,-28,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,6631","-0,7485",inconsistent
8/5/2024,44860384733,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44860385094,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,44860385362,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",novelty
8/5/2024,44860385918,672241,370793386,-35,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
11/28/2022,746436995,672241,617591237,2455,1,1,,0.0,,,,1716,"1681,8",available,1,1,0,2022,0,1,"-0,5","0,866","-0,4647","0,8855",inconsistent
5/8/2023,746436995,672241,617591237,2616,1,1,,0.0,,,,"1679,229",0,available,1,1,0,2023,0,-1,"0,5","-0,866","0,7485","-0,6631",inconsistent
5/1/2023,746436995,672241,617591237,2609,0,0,,,,,,"1630,2",0,available,1,1,0,2023,0,-1,"0,5","-0,866","0,823","-0,5681",inconsistent
11/13/2023,7405700714,672241,581857565,1719,0,0,,,,,,"389,7",0,available,"0,429",1,0,2023,0,1,"-0,5","0,866","-0,6631","0,7485",ok
11/6/2023,7405700714,672241,581857565,1712,0,0,,,,,,"389,7",0,available,1,1,0,2023,0,1,"-0,5","0,866","-0,7485","0,6631",ok
8/5/2024,44942965112,672241,348717123,-39,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
3/25/2024,746436995,672241,617591237,2938,1,1,CCCA,6.0,,,,1716,0,available,1,1,0,2024,1,0,1,0,"0,9927","0,1205",inconsistent
4/10/2023,15766844963,672241,968502710,1222,0,0,,,,,,5232,0,available,"0,143",1,0,2023,0,-1,"0,866","-0,5","0,9709","-0,2393",ok
4/3/2023,15766844963,672241,968502710,1215,6,6,,0.0,,,,"5315,85","16199,1",available,"0,571",1,0,2023,0,-1,"0,866","-0,5","0,9927","-0,1205",ok
4/17/2023,15766844963,672241,968502710,1229,0,0,,,,,,5232,0,available,"0,143",1,0,2023,0,-1,"0,866","-0,5","0,935","-0,3546",ok
4/24/2023,15766844963,672241,968502710,1236,0,0,,,,,,"5371,749",0,available,"0,857",1,0,2023,0,-1,"0,866","-0,5","0,8855","-0,4647",ok
8/5/2024,45132580164,672241,477244491,-52,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",inconsistent
8/5/2024,45132656942,672241,455317171,-52,0,0,,,,,,0,0,,0,1,0,2024,-1,0,"-0,866","-0,5","-0,5681","-0,823",ok
11/20/2023,9629394497,672241,611108271,1620,0,0,,,,,,"1799,7",0,available,1,1,0,2023,0,1,"-0,5","0,866","-0,5681","0,823",inconsistent
11/13/2023,9629394497,672241,611108271,1613,1,1,AAAA,12.0,,,,"1799,7","1799,7",available,"0,571",1,0,2023,0,1,"-0,5","0,866","-0,6631","0,7485",inconsistent
11/6/2023,9629394497,672241,611108271,1606,1,1,AAAB,11.0,"0,269","0,269",,"1799,7",0,available,"0,714",1,0,2023,0,1,"-0,5","0,866","-0,7485","0,6631",inconsistent
11/28/2022,4723833696,672241,773497904,1589,8,7,,0.0,"0,255","0,255",,"304,671","2524,5",available,1,1,0,2022,0,1,"-0,5","0,866","-0,4647","0,8855",ok
11/28/2022,4723910471,672241,773497904,1589,5,2,,0.0,"0,253","0,253",,"331,671",0,available,1,1,0,2022,0,1,"-0,5","0,866","-0,4647","0,8855",inconsistent
11/28/2022,4723938440,672241,773497904,1589,12,9,,0.0,"0,16","0,16",,"313,8","2745,924",available,1,1,0,2022,0,1,"-0,5","0,866","-0,4647","0,8855",inconsistent
